label,start,end,years,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,hit_weekly_pct,hit_monthly_pct,avg_weekly_turnover,n_weeks
ungated_train,2018-02-02,2024-12-27,6.9,82.62,9.12,7.03,1.27,1.92,-10.6,0.861,38.78,42.68,0.0181,361
ungated_oos,2025-01-03,2026-04-24,1.3,4.66,3.56,6.6,0.553,0.708,-4.44,0.802,27.54,33.33,0.0182,69
gated_train,2018-02-02,2024-12-27,6.9,53.11,6.37,4.9,1.279,2.023,-12.87,0.495,33.24,42.68,0.0227,361
gated_oos,2025-01-03,2026-04-24,1.3,4.66,3.56,6.6,0.553,0.708,-4.44,0.802,27.54,33.33,0.0182,69
BH_BTC_oos,2025-01-03,2026-04-24,1.3,-22.95,-18.13,37.56,-0.339,-0.485,-46.11,-0.393,50.0,53.33,0.0,68
