time,crypto_LO_12w_c10bps,crypto_LO_12w_c20bps,crypto_LO_12m_c10bps,crypto_LO_12m_c20bps,crypto_LS_12w_c10bps,crypto_LS_12w_c20bps,crypto_LS_12m_c10bps,crypto_LS_12m_c20bps,BH_BTC
2018-02-02,1.0,1.0,,,1.0,1.0,,,1.0
2018-02-09,0.9972751871965849,0.9971995957182905,,,0.9972751871965849,0.9971995957182905,,,0.978687100122506
2018-02-16,1.0063434288726383,1.0062668242761086,,,1.0063434288726383,1.0062668242761086,,,1.1450406456419058
2018-02-23,1.0027303063529571,1.0026533544366703,,,1.0027303063529571,1.0026533544366703,,,1.1417790765950302
2018-03-02,1.0029052125125015,1.0027888606657276,,,0.9994038067460852,0.9992490889189428,,,1.244107142655891
2018-03-09,0.9966576153449369,0.9965406447194203,,,0.9996552695228225,0.9994982172571353,,,1.0398927987395512
2018-03-16,0.9899711740511143,0.9898537050968127,,,0.9969678503484217,0.9968088181169285,,,0.9309108613404891
2018-03-23,0.9899326239349181,0.989776614013054,,,0.9974784079242324,0.9972425532318625,,,1.0028175268200379
2018-03-30,0.9899326239349181,0.989776614013054,,,1.0165875356003626,1.0163467152060304,,,0.7709012592090863
2018-04-06,0.9899326239349181,0.989776614013054,,,1.0200897846720787,1.0198460384181811,,,0.7439837349811733
2018-04-13,0.9899326239349181,0.989776614013054,,,1.0002092588490323,0.9999700647115881,,,0.8877925578973586
2018-04-20,0.9899326239349181,0.989776614013054,,,0.9872373497673708,0.9869989219903262,,,0.9981911477815356
2018-04-27,0.9899326239349181,0.989776614013054,,,0.9855914875964806,0.9853519836042383,,,1.0047695094009599
2018-05-04,0.9922923381131651,0.992096012633646,,,0.9830587729538341,0.9827317244911846,,,1.0947770941831594
2018-05-11,0.9873891760107356,0.9871932999884008,,,0.9811869538199546,0.9808597721848831,,,0.9466890115327007
2018-05-18,0.989764627330966,0.989542440398672,,,0.9834765630801662,0.983096637886424,,,0.9286354266806265
2018-05-25,0.9877216717872812,0.9874999362805439,,,0.9875319724923248,0.9871485830567002,,,0.840411899880875
2018-06-01,0.9891452427921896,0.9889231740882481,,,0.9889115639664434,0.9885208036201838,,,0.8476258955508997
2018-06-08,0.9911855712950658,0.9909625564436794,,,0.9896756306768416,0.9892796206185066,,,0.8569158449819283
2018-06-15,0.9900351978162212,0.9898124412499159,,,0.9992627037651602,0.998860613079895,,,0.7200358840215799
2018-06-22,0.9907848413471488,0.9905571375513932,,,1.0033523428390325,1.0029430476442303,,,0.6812779850851399
2018-06-29,0.9874332638088197,0.9871727862491043,,,0.9989469539681132,0.9984766133045015,,,0.6985122331379472
2018-07-06,0.9877152386955506,0.9874468206881041,,,0.996569577050055,0.9960910165875252,,,0.7449292969819779
2018-07-13,0.9876541450094786,0.9873246665211689,,,1.0045826876317419,1.0039725447290593,,,0.7003887060000923
2018-07-20,0.9876541450094786,0.9873246665211689,,,0.9962195629764717,0.9956141012382361,,,0.8269475027132782
2018-07-27,0.9876541450094786,0.9873246665211689,,,0.9841462678867218,0.9835447031494045,,,0.922860623710277
2018-08-03,0.9876541450094786,0.9873246665211689,,,0.9910223355581429,0.9904146781486787,,,0.8361044648784011
2018-08-10,0.9825182065759789,0.9821540355333345,,,0.9993827822812269,0.9986962482673507,,,0.6924365183032177
2018-08-17,0.9824819779177334,0.9820816050731973,1.0,1.0,1.0016426795867537,1.0008783294372834,1.0,1.0,0.7420790868508277
2018-08-24,0.9824819779177334,0.9820816050731973,0.9954440639205522,0.9953376112918484,1.0068695735871052,1.0061003860480497,0.9954440639205522,0.9953376112918484,0.7530279960734946
2018-08-31,0.9824819779177334,0.9820816050731973,0.9984481790462477,0.9982926790679479,1.0018254017946324,1.0010563476427912,0.9983647698597051,0.9981624875223832,0.7901708886366888
2018-09-07,0.9824819779177334,0.9820816050731973,0.9929250492579516,0.9927696013640263,1.0167254340670997,1.0159435779309225,1.004120334045431,1.0039150570610655,0.720784219144982
2018-09-14,0.9829635091357999,0.9825217268690039,0.9937174883328262,0.9935618787810759,1.0181639238588354,1.0172893415451219,1.0062980844680882,1.0060904421595775,0.7299231491384566
2018-09-21,0.9849531122358671,0.9845059534779727,0.9967345434579695,0.9965716624789139,1.0114605123363707,1.0105837193842522,1.0000948663841545,0.9998783982641691,0.7617488050868756
2018-09-28,0.9841094608196925,0.9836626811279499,0.995453929438847,0.9952912517437388,1.0161621591386827,1.0152771645913827,1.0037694114320197,1.0035502511540948,0.7477242835874554
2018-10-05,0.9841133318755093,0.9836623640653389,0.9954598029588323,0.995290770527491,1.01170861343584,1.0108172110527283,1.002153793954216,1.0019213858519673,0.747844873735353
2018-10-12,0.9814476028953092,0.980995487007303,0.9914151071508082,0.9912431650396312,1.0197287755534978,1.018823460748377,1.0064760963379722,1.0062327448842254,0.7097924835146505
2018-10-19,0.9813954016131139,0.9808911325372355,0.9943022004523148,0.9941294278916769,1.0141430948633048,1.0131331853072723,1.0069169469522634,1.0066728066901025,0.7358117801923356
