,strategy_LO_12w,BH_BTC,BH_ETH,BH_BNB,BH_SOL,SPY,FX_TSMOM_weekly
strategy_LO_12w,1.0,0.709815189729142,0.6724902266914774,0.6127786706817328,0.6302222819378034,0.21066372316200724,0.12211368381266059
BH_BTC,0.709815189729142,1.0,0.7948359465760636,0.5747784545622561,0.5763181398068515,0.2646885617861056,0.10240508460149317
BH_ETH,0.6724902266914774,0.7948359465760636,1.0,0.5054710930094932,0.6255983217599838,0.34781839542643134,0.054341203747269015
BH_BNB,0.6127786706817328,0.5747784545622561,0.5054710930094932,1.0,0.49092741554775177,0.1889804924437299,0.08167615904415017
BH_SOL,0.6302222819378034,0.5763181398068515,0.6255983217599838,0.49092741554775177,1.0,0.2609148916408633,0.04695650351079719
SPY,0.21066372316200724,0.2646885617861056,0.34781839542643134,0.1889804924437299,0.2609148916408633,1.0,0.007004359820009767
FX_TSMOM_weekly,0.12211368381266059,0.10240508460149317,0.054341203747269015,0.08167615904415017,0.04695650351079719,0.007004359820009767,1.0
