,strategy_LO_12w,BH_BTC,BH_ETH,BH_BNB,BH_SOL,SPY,FX_TSMOM_weekly
strategy_LO_12w,1.0,0.5727083787984393,0.6667945885729955,0.6708972866201829,0.7033557011725718,0.20589900939540995,0.12696600451491724
BH_BTC,0.5727083787984393,1.0,0.7967776330700135,0.7627299232302085,0.8010878098120439,0.3481218093540405,-0.04519935628370602
BH_ETH,0.6667945885729955,0.7967776330700135,1.0,0.7771695032141415,0.7930336415639117,0.3076960467786083,-0.08649664499542281
BH_BNB,0.6708972866201829,0.7627299232302085,0.7771695032141415,1.0,0.7295961057037013,0.24054244899675267,-0.060354227903760965
BH_SOL,0.7033557011725718,0.8010878098120439,0.7930336415639117,0.7295961057037013,1.0,0.3210694551992691,-0.007809813648151139
SPY,0.20589900939540995,0.3481218093540405,0.3076960467786083,0.24054244899675267,0.3210694551992691,1.0,0.2250319943581608
FX_TSMOM_weekly,0.12696600451491724,-0.04519935628370602,-0.08649664499542281,-0.060354227903760965,-0.007809813648151139,0.2250319943581608,1.0
