time,BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT
2018-02-02,0.0,0.0,0.0,0.0
2018-02-09,0.03825265520153313,0.037338823092827954,0.0,0.0
2018-02-16,0.03813862330188235,0.03712617663242015,0.0,0.0
2018-02-23,0.03792881348353692,0.037534847774156305,0.0,0.0
2018-03-02,0.0,0.038888312255051724,0.0,0.0
2018-03-09,0.0,0.04022816805699044,0.0,0.0
2018-03-16,0.0,0.03894064514873281,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-05-04,0.025646478905679337,0.0,0.01470977358800727,0.0
2018-05-11,0.026008367408121773,0.0,0.014872668581641171,0.0
2018-05-18,0.0,0.0,0.014706148739819278,0.0
2018-05-25,0.0,0.0,0.014713411221804936,0.0
2018-06-01,0.0,0.0,0.01469962179705444,0.0
2018-06-08,0.0,0.0,0.015193170905689495,0.0
2018-06-15,0.0,0.0,0.01519372263594225,0.0
2018-06-22,0.0,0.0,0.020021466238034188,0.0
2018-06-29,0.0,0.028553755263954757,0.025331511183005848,0.0
2018-07-06,0.0,0.031564840671802444,0.03028870140046866,0.0
2018-07-13,0.0,0.0,0.0,0.0
2018-07-20,0.0,0.0,0.0,0.0
2018-07-27,0.0,0.0,0.0,0.0
2018-08-03,0.0,0.0,0.0,0.0
2018-08-10,0.0,0.0,0.036873269119059825,0.0
2018-08-17,0.0,0.0,0.0,0.0
2018-08-24,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0
2018-09-07,0.0,0.0,0.0,0.0
2018-09-14,0.04196514064554199,0.0,0.0,0.0
2018-09-21,0.04652716251675784,0.0,0.0,0.0
2018-09-28,0.04652315739700211,0.0,0.0,0.0
2018-10-05,0.05077904823468754,0.0,0.0,0.0
2018-10-12,0.053188047982686594,0.0,0.0,0.0
2018-10-19,0.0,0.0,0.0,0.0
2018-10-26,0.0,0.0,0.0,0.0
2018-11-02,0.0,0.0,0.0,0.0
2018-11-09,0.05693015669650128,0.0,0.0,0.0
2018-11-16,0.0,0.0,0.0,0.0
2018-11-23,0.0,0.0,0.0,0.0
2018-11-30,0.0,0.0,0.0,0.0
2018-12-07,0.0,0.0,0.0,0.0
2018-12-14,0.0,0.0,0.0,0.0
2018-12-21,0.0,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0
2019-01-11,0.0,0.0,0.0,0.0
2019-01-18,0.0,0.0,0.0,0.0
2019-01-25,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0
2019-02-08,0.0,0.0,0.0,0.0
2019-02-15,0.0,0.0,0.03827109725641416,0.0
2019-02-22,0.0,0.0,0.03823810971552332,0.0
2019-03-01,0.0,0.03155624222337424,0.03751596296849311,0.0
2019-03-08,0.0572937496605714,0.031393855931170424,0.03744073774941949,0.0
2019-03-15,0.05788309018185694,0.032706403008935826,0.03462864549026829,0.0
