symbol,month_start,month_end,direction,raw_momentum,vol_annualised,target_weight,month_return_unweighted,month_return_weighted
EURUSD,2011-01-03,2011-02-01,SELL,-0.07917753038392039,0.11729005591167474,0.852587196951334,-0.03428145661829607,-0.029227931005601802
EURUSD,2011-02-01,2011-03-01,BUY,0.014151670102487524,0.11628988675104214,0.859920005030909,-0.0035301436652729334,-0.003035641158401333
EURUSD,2011-03-01,2011-04-01,BUY,0.0005229593689621836,0.10006644414097444,0.9993359997794982,0.03335027223230491,0.03332812764418887
EURUSD,2011-04-01,2011-05-02,BUY,0.042752073138570656,0.09226920339830331,1.0837852318755237,0.041266228292024865,0.044723728798100465
EURUSD,2011-05-02,2011-06-01,BUY,0.183632399798759,0.08514154286499703,1.1745147742807878,-0.033221336140010105,-0.03901895011779014
EURUSD,2011-06-01,2011-07-01,BUY,0.17329075575206732,0.10904139257244438,0.9170829319110401,0.013622342875486693,0.012492818143748804
EURUSD,2011-07-01,2011-08-01,BUY,0.13995322335065197,0.11764482980737104,0.8500161049468788,-0.018678655522355148,-0.015877158012756833
EURUSD,2011-08-01,2011-09-01,BUY,0.11120379826770299,0.12096764642620618,0.8266673193563615,0.0005753053678796416,0.00047558614627638874
EURUSD,2011-09-01,2011-10-03,BUY,0.09817042181941393,0.13192242890793623,0.7580212161632219,-0.07513936121726339,-0.05695722997163763
EURUSD,2011-10-03,2011-11-01,SELL,-0.06321067621218912,0.13649911338411166,0.7326054911331012,-0.036952394859813165,-0.02707152738481771
EURUSD,2011-11-01,2011-12-01,BUY,0.0004382761139516411,0.13437748873992472,0.7441722638048461,-0.017238609813084005,-0.01282849528945116
EURUSD,2011-12-01,2012-01-02,BUY,0.006054309397633517,0.1366899257190623,0.7315828103201197,-0.03908647166769441,-0.028594990788149616
EURUSD,2012-01-02,2012-02-01,SELL,-0.03100908770799471,0.11696120450407434,0.8549843550603697,-0.0179197861774667,-0.015321136827761097
EURUSD,2012-02-01,2012-03-01,SELL,-0.02362753456648259,0.09994241381976575,1.0005761936102335,-0.01098670031015081,-0.01099303077666707
EURUSD,2012-03-01,2012-04-02,SELL,-0.04690295890175655,0.09548858550759864,1.0472455892860866,-4.505620761896534e-05,-4.718491469891962e-05
EURUSD,2012-04-02,2012-05-01,SELL,-0.0807193152008836,0.08795427732163234,1.1369543704431646,0.005960204867878405,0.0067764809732709765
EURUSD,2012-05-01,2012-06-01,SELL,-0.06227952114471913,0.07782423374113463,1.2849467986106773,0.06477377840337817,0.08323085919333821
EURUSD,2012-06-01,2012-07-02,SELL,-0.12213497902868198,0.07070358615679002,1.414355415837652,-0.012086200594377261,-0.017094183267557725
EURUSD,2012-07-02,2012-08-01,SELL,-0.1103397570941792,0.08501358548380301,1.1762825839059834,0.02910366596612879,0.0342341354037746
EURUSD,2012-08-01,2012-09-03,SELL,-0.15361775169225234,0.09231615789919095,1.0832339893217804,-0.02846587749265117,-0.030835206035909606
EURUSD,2012-09-03,2012-10-01,SELL,-0.0932209494993157,0.09195764268892992,1.0874571930717647,-0.023203476641316167,-0.025232787577871937
EURUSD,2012-10-01,2012-11-01,SELL,-0.06430625344912722,0.08289369740312752,1.2063643332698908,-0.004688453428286721,-0.005655982994082044
EURUSD,2012-11-01,2012-12-03,SELL,-0.042772010765090296,0.07411399695354501,1.349272797453907,-0.00857665770712257,-0.011572250937293882
EURUSD,2012-12-03,2013-01-01,BUY,0.002995460724901422,0.06777485803919632,1.4754733966711797,0.011226232320215468,0.016564007133328094
