id,ticket,symbol,order_type,volume,open_price,close_price,open_time,close_time,profit,swap,commission,stop_loss,take_profit,strategy,is_closed,comment,engine_version,strategy_version,data_group
1,55782969792,XAUUSD,SELL,0.01,4996.9,5005.06,2026-03-18 01:47:03.152305,2026-03-18 05:03:48.000000,-8.14,0.0,0.0,5005.06316,4983.29473,macd_crossover,1,MACD crossover SELL | MACD=-1.65690 Signal=-1.43242,,,OLD
2,55783080585,XAUUSD,BUY,0.01,5001.74,4994.17,2026-03-18 02:02:03.327397,2026-03-18 06:52:10.000000,-7.57,0.0,0.0,4994.17109,5017.7836,sma_crossover,1,"SMA40 crossed above SMA50, RSI=47.8",,,OLD
3,55783080632,XAUUSD,BUY,0.01,5001.73,5015.45,2026-03-18 02:02:03.978007,2026-03-18 06:10:02.000000,13.72,0.0,0.0,4993.21074,5015.44877,macd_crossover,1,MACD crossover BUY | MACD=-1.31655 Signal=-1.37095,,,OLD
4,55783162381,XAUUSD,SELL,0.01,4999.47,5006.28,2026-03-18 02:17:03.313552,2026-03-18 05:04:12.000000,-6.8100000000000005,0.0,0.0,5006.28238,4984.54676,sma_crossover,1,"SMA40 crossed below SMA50, RSI=46.3",,,OLD
5,55783254314,XAUUSD,BUY,0.01,5002.62,5015.32,2026-03-18 02:32:03.204168,2026-03-18 06:10:02.000000,12.7,0.0,0.0,4994.63358,5015.31736,macd_crossover,1,MACD crossover BUY | MACD=-1.26895 Signal=-1.39387,,,OLD
6,55783674032,XAUUSD,SELL,0.01,5009.83,5000.71,2026-03-18 03:17:03.630722,2026-03-18 05:36:12.000000,9.12,0.0,0.0,5016.32594,5000.7111,bollinger_bounce,1,BB bounce SELL | BB_pos=1.06 RSI=59.0,,,OLD
7,55783674130,NZDUSD,SELL,10.0,0.58613,0.58673,2026-03-18 03:17:04.765283,2026-03-18 10:42:59.000000,-600.0,0.0,0.0,0.58673,0.58513,sma_crossover,1,"SMA20 crossed below SMA50, RSI=58.5",,,OLD
8,55784152107,NZDUSD,BUY,10.0,0.5864,0.58584,2026-03-18 04:02:03.633249,2026-03-18 06:51:05.000000,-560.0,0.0,0.0,0.58584,0.58718,macd_crossover,1,MACD crossover BUY | MACD=0.00008 Signal=0.00005,,,OLD
9,55784152301,NZDUSD,SELL,10.0,0.58631,0.58571,2026-03-18 04:02:04.252991,2026-03-18 07:57:08.000000,600.0,0.0,0.0,0.58676,0.58571,bollinger_bounce,1,BB bounce SELL | BB_pos=1.09 RSI=59.9,,,OLD
10,55784353675,XAUUSD,SELL,0.01,5012.96,5002.31,2026-03-18 04:17:03.817541,2026-03-18 06:37:33.000000,10.65,0.0,0.0,5020.00674,5002.3149,bollinger_bounce,1,BB bounce SELL | BB_pos=1.08 RSI=60.5,,,OLD
