field,version,n_total,n_available,pct_available
shadow_sim_pnl,v3,137,36,26.3
comment,v1,132,132,100.0
comment,v2,46,46,100.0
comment,v3,137,137,100.0
data_group,v1,132,132,100.0
data_group,v2,46,46,100.0
data_group,v3,137,33,24.1
_source,v1,132,132,100.0
_source,v2,46,46,100.0
_source,v3,137,137,100.0
is_closed,v1,132,132,100.0
is_closed,v2,46,46,100.0
is_closed,v3,137,137,100.0
