id,run_time,scope,n_months,start_date,end_date,annual_return,annual_vol,sharpe,sortino,max_drawdown,hit_rate_monthly,best_month,worst_month,positive_months,negative_months,cagr,verdict,notes,_source,architecture,n_signals,n_features,cv_splits,auc_mean,auc_std,f1_mean,precision_mean,recall_mean,baseline_wr,lifted_wr,wr_lift_points
6,2026-04-17T14:06:55,AUDUSD,171.0,2012-02-29,2026-04-30,0.005036424148846742,0.09279737893403636,0.05427334485844486,0.09438753660520147,-0.22090760863887282,0.45614035087719296,0.06269228093627816,-0.07256121476998945,78.0,93.0,0.0007581900676298936,❌ POOR,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
1,2026-04-17T14:06:55,EURUSD,171.0,2012-02-29,2026-04-30,-0.0009645571614406526,0.07322571029401094,-0.013172383819396598,-0.023008718570658216,-0.26036889977494926,0.5146198830409356,0.06736642010000427,-0.05290052313638993,88.0,83.0,-0.003619780966184649,❌ POOR,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
2,2026-04-17T14:06:55,GBPUSD,171.0,2012-02-29,2026-04-30,-0.005623574230602363,0.08019088695324134,-0.07012734793520146,-0.12714487079583886,-0.22676880930569876,0.45614035087719296,0.0808124758273937,-0.05501612903225794,78.0,93.0,-0.008773470993745813,❌ POOR,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
7,2026-04-17T14:06:55,USDCAD,171.0,2012-02-29,2026-04-30,-0.005107034681732903,0.07310135327373198,-0.06986238219981147,-0.1272477016220679,-0.31104825547799064,0.45614035087719296,0.09574403967522782,-0.048532820359186934,78.0,93.0,-0.007715163146977733,❌ POOR,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
5,2026-04-17T14:06:55,USDCHF,171.0,2012-02-29,2026-04-30,-0.020719043262227257,0.0756382396980141,-0.27392286421455736,-0.45133082056662505,-0.4096346262430408,0.47368421052631576,0.0659596613929064,-0.074126619979071,81.0,90.0,-0.02331723350931192,❌ POOR,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
3,2026-04-17T14:06:55,USDJPY,171.0,2012-02-29,2026-04-30,0.03197434572704826,0.09018654809169907,0.35453564199549664,0.5186125799566114,-0.24126942365364878,0.5614035087719298,0.06711861621266291,-0.08368394105721033,96.0,75.0,0.028282320617503576,❌ MARGINAL,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
4,2026-04-17T14:06:55,XAUUSD,171.0,2012-02-29,2026-04-30,0.03784328903481693,0.10903464967873894,0.3470758070605892,0.6311872699596188,-0.31327809841676124,0.5087719298245614,0.10370079407354746,-0.07883592389197615,87.0,84.0,0.032472066808374,❌ MARGINAL,"target_vol=0.1, max_leverage=1.0",tsmom_runs,,,,,,,,,,,,
8,2026-04-17T14:06:55,portfolio_equal_weight,171.0,2012-02-29,2026-04-30,0.006062835653529825,0.04818843049885669,0.12581517162451827,0.19798179146345846,-0.1544500148085305,0.4853801169590643,0.0364433212834005,-0.0520171656296745,83.0,88.0,0.004919112055288721,❌ POOR,"n_pairs=7, target_vol=0.1",tsmom_runs,,,,,,,,,,,,
1,2026-04-17T13:51:27,all,,,,,,,,,,,,,,,❌ MARGINAL,filtered 317 / 1017,meta_labeler_runs,GLOBAL,1017.0,20.0,5.0,0.5382042396141198,0.049694968189287494,0.3525051529496642,0.3915954702835274,0.3281085993457646,37.954768928220254,39.11671924290221,1.1619503146819525
2,2026-04-17T13:51:27,macd_crossover,,,,,,,,,,,,,,,❌ MARGINAL,filtered 223 / 710,meta_labeler_runs,PER_STRATEGY,710.0,20.0,5.0,0.517262101128859,0.048871464808669746,0.36941917630446514,0.4197909933204051,0.33906142876731116,39.71830985915493,41.70403587443946,1.9857260152845342
4,2026-04-17T13:51:27,macd_crossover/AUDUSD,,,,,,,,,,,,,,,❌ MARGINAL,filtered 25 / 80,meta_labeler_runs,PER_COMBO,80.0,20.0,5.0,0.4697763347763348,0.12037882328462136,0.36982128982128987,0.44333333333333336,0.3577777777777778,37.5,40.0,2.5
