id,time,symbol,h1_close,h1_atr,h1_rsi,h1_sma_fast,h1_sma_slow,h1_macd,h1_macd_signal,h1_bb_position,h4_close,h4_atr,h4_rsi,h4_sma_50,h4_sma_200,h4_trend,m15_close,m15_rsi,m15_atr,volatility_regime,spread,signal_action,signal_status
1,2026-03-16 13:58:39.665702,EURUSD,1.15001,0.001654992947652288,65.71608411784781,1.1445625,1.1474562,0.0,-0.0007127025126299657,1.1124932553316207,1.15001,0.003718811381043374,46.8718256136881,1.1566904,1.175905,DOWN,1.15006,76.00513388706757,0.0008675072689306704,NORMAL,5.0,,
2,2026-03-16 13:58:40.665355,GBPUSD,1.33079,0.001867910682794511,63.85587524580487,1.3254519999999999,1.3294196,0.0,-0.0010919056868636786,1.1887331491658417,1.33079,0.004219970995662136,46.780286410757554,1.3360504,1.35277445,DOWN,1.33079,73.84146738869065,0.000949053734159342,NORMAL,5.0,,
3,2026-03-16 13:59:06.100784,USDJPY,158.911,0.18782092107814,34.0450833666963,159.40175000000002,159.33442,0.0,-0.00945976301033033,-0.08352263031191248,158.911,0.4151813682261273,50.447062614541615,158.2905,155.90612,UP,158.911,29.360030890726208,0.09874677512447279,NORMAL,500.0,,
4,2026-03-16 13:59:06.857899,XAUUSD,5028.2,25.94214427708151,49.29388204879125,5013.199,5069.661599999999,0.0,-23.206439080734604,0.7121940210477586,5028.2,52.35120715160165,40.02143402009957,5127.5316,5081.24955,UP,5028.2,60.486013917609235,12.480730117978897,NORMAL,11000.0,,
5,2026-03-16 14:05:00.046075,EURUSD,1.14955,0.001583819982003647,63.40093216979894,1.1448610000000001,1.1473686,0.0,-0.0004829264898534333,0.9742980136816283,1.14955,0.003500222685778993,46.18285139161801,1.1564644000000002,1.17565945,DOWN,1.14955,70.57927442654773,0.0008512243360978657,NORMAL,5.0,,
6,2026-03-16 14:05:00.243339,GBPUSD,1.33042,0.001804488491166346,62.15177762346508,1.3257415,1.3292510000000002,0.0,-0.0008515609872663245,1.0271423186929618,1.33042,0.003988544374785725,46.26161954333062,1.3359379999999998,1.3525330500000001,DOWN,1.33042,70.36186317458514,0.0009512559702681244,NORMAL,5.0,,
7,2026-03-16 14:05:00.438948,USDJPY,158.965,0.1800020797766388,36.16397076748975,159.37265,159.34036,0.0,-0.02482946237833248,0.046811327367368455,158.965,0.3905255443264072,51.43348546471409,158.3263,155.9375,UP,158.965,33.349979645106075,0.0966913163540862,NORMAL,500.0,,
8,2026-03-16 14:05:00.696117,XAUUSD,5030.56,24.602705400147087,49.99291581874731,5012.486,5066.6582,0.0,-21.560058764084562,0.7738861842178482,5030.56,49.12540527533795,40.40704811327571,5124.5289999999995,5080.0195,UP,5030.56,61.91090532243939,12.10263152827646,NORMAL,13000.0,,
9,2026-03-16 14:18:18.619776,EURUSD,1.14965,0.0016009628391465056,63.89024266273405,1.144866,1.1473706,0.0,-0.00048133104825797443,0.9819445620323426,1.14965,0.0035173655491901067,46.330900261606374,1.1564664,1.17565995,DOWN,1.14965,70.37161619832263,0.000860625506373354,NORMAL,4.0,,
10,2026-03-16 14:18:18.889172,GBPUSD,1.33061,0.001815917062594913,63.02671009480202,1.325751,1.3292548000000002,0.0,-0.0008485296482349793,1.042252525248318,1.33061,0.00399997295039313,46.52611221660695,1.3359417999999998,1.352534,DOWN,1.33061,70.8842081780756,0.0009381616336195551,NORMAL,5.0,,
11,2026-03-16 14:18:19.092875,USDJPY,158.925,0.18457350834806685,34.375720707212096,159.37065,159.33956,0.0,-0.02546763901650324,0.013138304886763921,158.925,0.39509697456937004,50.681703394126416,158.3255,155.9373,UP,158.925,34.06036557683028,0.1004668874663538,NORMAL,500.0,,
12,2026-03-16 14:18:19.278574,XAUUSD,5029.38,25.03199111443288,49.62960328179815,5012.427000000001,5066.634599999999,0.0,-21.57888497491079,0.7579318263421891,5029.38,49.55469114659131,40.23114693136668,5124.5054,5080.0136,UP,5029.38,60.97045722238067,11.851670553396888,NORMAL,17000.0,,
13,2026-03-16 14:24:24.515213,EURUSD,1.14965,0.0016102485534322173,63.89024266273405,1.144866,1.1473706,0.0,-0.00048133104825797443,0.9819445620323426,1.14965,0.0035266512668711233,46.330900261606374,1.1564664,1.17565995,DOWN,1.14965,70.37161619832263,0.0008756345821879284,NORMAL,4.0,,
14,2026-03-16 14:24:24.680684,GBPUSD,1.33051,0.0018237742054520599,62.56317125039806,1.325746,1.3292528000000001,0.0,-0.0008501250898304382,1.0343540012670893,1.33051,0.004007830096123227,46.386529677134824,1.3359397999999998,1.3525335,DOWN,1.33051,69.93212903979081,0.0009553148631219236,NORMAL,5.0,,
15,2026-03-16 14:24:24.936272,USDJPY,158.949,0.18457350834806685,35.35314938859322,159.37185,159.34004000000002,0.0,-0.02508473303360306,0.03313055269643919,158.949,0.39509697456937004,51.13780154834621,158.32598,155.93742,UP,158.949,36.07128701084527,0.10139602073106573,NORMAL,500.0,,
16,2026-03-16 14:24:25.217711,XAUUSD,5021.76,25.28056254300428,47.40528177207746,5012.046,5066.4821999999995,0.0,-21.7004576244832,0.6508109267021094,5021.76,49.80326266605241,39.37032000194277,5124.353,5079.9755,UP,5021.76,55.87557371037693,12.100392381181182,NORMAL,13000.0,,
17,2026-03-16 15:05:04.285389,EURUSD,1.14903,0.001589261411860518,60.728296196177915,1.1451665,1.1472829999999998,0.0,-0.00028595285333894683,0.8867135105892697,1.14903,0.00361022272600029,45.428000241929325,1.156454,1.17565685,DOWN,1.14903,61.77155464884368,0.0008556665682339314,NORMAL,5.0,,
18,2026-03-16 15:05:04.290377,EURUSD,1.14903,0.001589261411860518,60.728296196177915,1.1451665,1.1472829999999998,0.0,-0.00028595285333894683,0.8867135105892697,1.14903,0.00361022272600029,45.428000241929325,1.156454,1.17565685,DOWN,1.14903,61.77155464884368,0.0008556665682339314,NORMAL,5.0,,
19,2026-03-16 15:05:04.530651,GBPUSD,1.32969,0.001881631348309201,59.00471164441478,1.325705,1.3292364,0.0,-0.0008632077109130766,0.9649982143859631,1.32969,0.00406568726013573,45.27278561620586,1.3359234,1.3525293999999999,DOWN,1.32969,61.80762349745712,0.000932182770842807,NORMAL,5.0,,
20,2026-03-16 15:05:04.783123,GBPUSD,1.32989,0.001773657680572828,59.63023829737727,1.325984,1.3290781999999999,0.0,-0.0006385506877685858,0.9226127001075908,1.32989,0.00406568726013573,45.53947002966522,1.3359273999999999,1.3525304,DOWN,1.32989,62.83859044876407,0.0009025958236328574,NORMAL,5.0,,
21,2026-03-16 15:05:04.998448,USDJPY,159.18,0.18896621693545154,45.48352819089427,159.35860000000002,159.34957999999997,0.0,-0.032133977070974554,0.2840962550868386,159.18,0.41002555145654757,55.08571190521846,158.3306,155.93857500000001,UP,159.18,51.689061156494034,0.10244622354914827,NORMAL,300.0,,
22,2026-03-16 15:05:05.211276,USDJPY,159.176,0.18896621693545154,45.32585917587836,159.35840000000002,159.34949999999998,0.0,-0.0321977947347922,0.27969821126237954,159.174,0.41002555145654757,54.99125571024726,158.33048,155.938545,UP,159.174,51.338862521060896,0.10244622354914827,NORMAL,400.0,,
23,2026-03-16 15:05:05.529794,XAUUSD,4995.88,27.665562543004302,41.142631942583684,5010.752,5065.964599999999,0.0,-22.113357909383588,0.2721763104526231,4996.81,52.18826353812348,36.7926346846267,5123.853999999999,5079.8507500000005,UP,4996.81,42.81428250847755,12.00921346136822,NORMAL,17000.0,,
24,2026-03-16 15:05:05.857397,XAUUSD,4996.65,26.411593789932542,41.386302221274406,5008.262000000001,5062.3166,0.0,-21.188699452573513,0.2962428011296198,4996.65,52.18826353812348,36.77719320307218,5123.850799999999,5079.84995,UP,4996.65,42.70687300199743,12.665324489833722,NORMAL,15000.0,,
25,2026-03-16 16:05:00.245141,EURUSD,1.14882,0.0016474264130541645,59.83960770101172,1.1455095,1.1472112,0.0,-0.00010701033702651606,0.8376545786534213,1.14882,0.0036109370119757575,45.130105472933224,1.1564498,1.1756558,DOWN,1.14882,56.51712717890268,0.0009352984297084751,NORMAL,5.0,,
26,2026-03-16 16:05:00.245141,EURUSD,1.14882,0.0016474264130541645,59.83960770101172,1.1455095,1.1472112,0.0,-0.00010701033702651606,0.8376545786534213,1.14882,0.0036109370119757575,45.130105472933224,1.1564498,1.1756558,DOWN,1.14882,56.51712717890268,0.0009352984297084751,NORMAL,5.0,,
27,2026-03-16 16:05:00.717577,GBPUSD,1.331,0.0018550862520013939,62.68719548801478,1.3260395,1.3291003999999997,0.0,-0.0006208412860591876,1.0124228006591969,1.331,0.00406568726013573,47.11722751968459,1.3359496,1.3525359499999998,DOWN,1.331,67.18023164956115,0.0009175986468249384,NORMAL,5.0,,
28,2026-03-16 16:05:00.990483,GBPUSD,1.33042,0.0018396209074706793,61.19452545713384,1.3263859999999998,1.3289556000000002,0.0,-0.00041106836175193657,0.9197015000486903,1.33042,0.0040928301272033125,46.26161954333062,1.3359379999999998,1.3525330500000001,DOWN,1.33042,61.91912311155238,0.0010410383257359454,NORMAL,5.0,,
29,2026-03-16 16:05:01.247990,USDJPY,159.281,0.196672711644145,49.16949970692815,159.3444,159.35746,0.0,-0.03542741442590374,0.4166164305528812,159.281,0.4198826979179377,56.61824816633672,158.33262000000002,155.93908,UP,159.281,57.50626199840526,0.11080797651860834,NORMAL,500.0,,
30,2026-03-16 16:05:01.466711,USDJPY,159.281,0.196672711644145,49.16949970692815,159.3444,159.35746,0.0,-0.03542741442590374,0.4166164305528812,159.281,0.4198826979179377,56.61824816633672,158.33262000000002,155.93908,UP,159.281,57.50626199840526,0.11080797651860834,NORMAL,500.0,,
31,2026-03-16 16:05:01.865858,XAUUSD,4995.59,27.204450932789708,41.07650155358846,5008.209000000001,5062.2954,0.0,-21.205611133485167,0.27930650579996386,4995.59,52.43540648563369,36.67521985299433,5123.8296,5079.84465,UP,4995.59,43.1635945579779,12.831081306831345,NORMAL,9000.0,,
32,2026-03-16 16:05:02.217491,XAUUSD,4988.84,25.791735049835296,39.84662014288683,5006.4015,5058.2728,0.0,-20.720327037175338,0.21193390001982743,4988.84,52.478977930136914,36.03889702414753,5123.6946,5079.8109,UP,4988.96,40.680219506599805,13.027288296265645,NORMAL,11000.0,,
33,2026-03-16 17:05:00.633316,EURUSD,1.14989,0.0017114367713053857,63.20044958160069,1.14595,1.1471756,0.0,8.725022259156231e-05,0.895439522510959,1.14989,0.0036502227406262277,46.690120327714034,1.1564712,1.17566115,DOWN,1.14989,60.579578170208286,0.0010416978958687983,NORMAL,5.0,,
34,2026-03-16 17:05:00.633316,EURUSD,1.14989,0.0017114367713053857,63.20044958160069,1.14595,1.1471756,0.0,8.725022259156231e-05,0.895439522510959,1.14989,0.0036502227406262277,46.690120327714034,1.1564712,1.17566115,DOWN,1.14989,60.579578170208286,0.0010416978958687983,NORMAL,5.0,,
35,2026-03-16 17:05:01.435860,GBPUSD,1.329,0.0019181923360420993,55.3601202865114,1.326315,1.3289271999999999,0.0,-0.0004337236324071951,0.7923521912801013,1.329,0.004124972996099137,44.376226104475826,1.3359096,1.3525259499999998,DOWN,1.33111,62.687734060098165,0.0011358205236422626,NORMAL,5.0,,
36,2026-03-16 17:05:01.435860,GBPUSD,1.329,0.0019181923360420993,55.3601202865114,1.326315,1.3289271999999999,0.0,-0.0004337236324071951,0.7923521912801013,1.33111,0.004124972996099137,47.291432345480665,1.3359518,1.3525365,DOWN,1.33111,62.687734060098165,0.0011358205236422626,NORMAL,5.0,,
37,2026-03-16 17:05:02.030725,USDJPY,159.219,0.19551241591445978,46.979630380852406,159.31875,159.35775999999998,0.0,-0.0395672177534971,0.3542202832633602,159.22,0.4219541272467802,55.70542803544631,158.3314,155.938775,UP,159.22,51.99276327004194,0.11067407418666728,NORMAL,500.0,,
38,2026-03-16 17:05:02.030725,USDJPY,159.22,0.19551241591445978,47.014158380807025,159.3188,159.35778,0.0,-0.03955126333754269,0.3555828726574823,159.22,0.4219541272467802,55.70542803544631,158.3314,155.938775,UP,159.22,51.99276327004194,0.11067407418666728,NORMAL,500.0,,
39,2026-03-16 17:05:02.498248,XAUUSD,4975.88,26.945306478406767,36.90976299843074,5005.7535,5058.0136,0.0,-20.927096267944506,0.040908966464161575,4975.88,53.05754957026199,34.87705828192881,5123.435399999999,5079.7461,UP,4994.26,46.459923293637914,13.247106616634337,NORMAL,12000.0,,
40,2026-03-16 17:05:02.498248,XAUUSD,4975.88,26.945306478406767,36.90976299843074,5005.7535,5058.0136,0.0,-20.927096267944506,0.040908966464161575,4975.88,53.05754957026199,34.87705828192881,5123.435399999999,5079.7461,UP,4994.26,46.459923293637914,13.247106616634337,NORMAL,12000.0,,
41,2026-03-16 18:05:00.618486,EURUSD,1.14993,0.0016559770019264298,63.18804951466416,1.1462635,1.1471164,0.0,0.00024220010001800904,0.8679377037518246,1.14993,0.0034423495947452283,46.98902481457708,1.1561940000000002,1.17542865,DOWN,1.14992,59.31371418467771,0.0009446451321277088,NORMAL,5.0,,
42,2026-03-16 18:05:00.618486,EURUSD,1.14993,0.0016559770019264298,63.18804951466416,1.1462635,1.1471164,0.0,0.00024220010001800904,0.8679377037518246,1.14992,0.0034423495947452283,46.97141554614064,1.1561938,1.1754286,DOWN,1.14992,59.31371418467771,0.0009446451321277088,NORMAL,5.0,,
43,2026-03-16 18:05:01.151146,GBPUSD,1.3307,0.001883321454896238,62.09240465803298,1.3268140000000002,1.328854,0.0,-0.00020213275183813046,0.9136531272044073,1.3307,0.004124972996099137,46.65245668729944,1.3359436,1.35253445,DOWN,1.3307,59.21382978309397,0.0010456745729855786,NORMAL,5.0,,
44,2026-03-16 18:05:01.166728,GBPUSD,1.3307,0.001883321454896238,62.09240465803298,1.3268140000000002,1.328854,0.0,-0.00020213275183813046,0.9136531272044073,1.3307,0.004124972996099137,46.65245668729944,1.3359436,1.35253445,DOWN,1.33103,60.128206408898194,0.0010491853964443797,NORMAL,5.0,,
45,2026-03-16 18:05:01.666421,USDJPY,159.221,0.18959316171648757,46.95260767654799,159.3059,159.35894,0.0,-0.0408670892611481,0.3705736709418132,159.221,0.3958145338008767,55.46903201308436,158.37094000000002,155.97087,UP,159.221,51.29137741155095,0.10153567288035767,NORMAL,500.0,,
46,2026-03-16 18:05:01.666421,USDJPY,159.221,0.18959316171648757,46.95260767654799,159.3059,159.35894,0.0,-0.0408670892611481,0.3705736709418132,159.221,0.3958145338008767,55.46903201308436,158.37094000000002,155.97087,UP,159.221,51.29137741155095,0.10153567288035767,NORMAL,500.0,,
47,2026-03-16 18:05:02.232668,XAUUSD,4989.62,26.21722336260221,40.19867044293206,5005.022,5055.0758000000005,0.0,-20.120551025161962,0.24810632846715527,4992.46,49.7200193576642,36.47433235820032,5120.2336,5078.45215,UP,4992.46,46.39696230463836,12.264708721772836,NORMAL,9000.0,,
48,2026-03-16 18:05:02.232668,XAUUSD,4989.62,26.21722336260221,40.19867044293206,5005.022,5055.0758000000005,0.0,-20.120551025161962,0.24810632846715527,4992.46,49.58930502415447,36.610629935502764,5120.2002,5078.4438,UP,4992.46,46.39696230463836,12.264708721772836,NORMAL,9000.0,,
