id,time,balance,equity,margin,free_margin,profit
1,2026-03-16 13:59:07.134612,100000.0,100000.0,0.0,100000.0,0.0
2,2026-03-16 14:05:00.874774,100000.0,100000.0,0.0,100000.0,0.0
3,2026-03-16 14:18:19.421377,100000.0,100000.0,0.0,100000.0,0.0
4,2026-03-16 14:24:25.406014,100000.0,100000.0,0.0,100000.0,0.0
5,2026-03-16 15:05:06.013568,100000.0,100000.0,0.0,100000.0,0.0
6,2026-03-16 15:05:06.732885,100000.0,100000.0,0.0,100000.0,0.0
7,2026-03-16 16:05:02.201836,100000.0,100000.0,0.0,100000.0,0.0
8,2026-03-16 16:05:02.798220,100000.0,100000.0,0.0,100000.0,0.0
9,2026-03-16 17:05:02.675031,100000.0,100000.0,0.0,100000.0,0.0
10,2026-03-16 17:05:03.149240,100000.0,100000.0,0.0,100000.0,0.0
11,2026-03-16 18:05:02.326837,100000.0,100000.0,0.0,100000.0,0.0
12,2026-03-16 18:05:02.500639,100000.0,100000.0,0.0,100000.0,0.0
14,2026-03-16 19:05:00.729016,100000.0,100000.0,0.0,100000.0,0.0
13,2026-03-16 19:05:00.857743,100000.0,100000.0,0.0,100000.0,0.0
15,2026-03-16 20:05:00.764910,100000.0,100000.0,0.0,100000.0,0.0
16,2026-03-16 20:05:01.029261,100000.0,100000.0,0.0,100000.0,0.0
17,2026-03-16 21:05:00.827494,100000.0,100000.0,0.0,100000.0,0.0
18,2026-03-16 21:05:01.107700,100000.0,100000.0,0.0,100000.0,0.0
19,2026-03-16 22:05:00.854612,100000.0,100000.0,0.0,100000.0,0.0
20,2026-03-16 22:05:01.123649,100000.0,100000.0,0.0,100000.0,0.0
21,2026-03-16 23:05:00.873026,100000.0,100000.0,0.0,100000.0,0.0
22,2026-03-16 23:05:01.330661,100000.0,100000.0,0.0,100000.0,0.0
23,2026-03-17 00:05:00.983336,100000.0,100000.0,0.0,100000.0,0.0
24,2026-03-17 00:05:01.259855,100000.0,100000.0,0.0,100000.0,0.0
25,2026-03-17 01:05:00.935702,100000.0,100000.0,0.0,100000.0,0.0
26,2026-03-17 01:05:01.247906,100000.0,100000.0,0.0,100000.0,0.0
27,2026-03-17 02:05:00.864138,100000.0,100000.0,0.0,100000.0,0.0
28,2026-03-17 02:05:01.045752,100000.0,100000.0,0.0,100000.0,0.0
29,2026-03-17 03:05:00.874650,100000.0,100000.0,0.0,100000.0,0.0
30,2026-03-17 03:05:01.154480,100000.0,100000.0,0.0,100000.0,0.0
32,2026-03-17 04:05:00.810563,100000.0,100000.0,0.0,100000.0,0.0
31,2026-03-17 04:05:00.925479,100000.0,100000.0,0.0,100000.0,0.0
33,2026-03-17 05:05:00.873806,100000.0,100000.0,0.0,100000.0,0.0
34,2026-03-17 05:05:01.217619,100000.0,100000.0,0.0,100000.0,0.0
36,2026-03-17 06:05:00.858152,100000.0,100000.0,0.0,100000.0,0.0
35,2026-03-17 06:05:00.951983,100000.0,100000.0,0.0,100000.0,0.0
37,2026-03-17 07:05:00.811660,100000.0,100000.0,0.0,100000.0,0.0
38,2026-03-17 07:05:01.264377,100000.0,100000.0,0.0,100000.0,0.0
39,2026-03-17 08:05:00.968042,100000.0,100000.0,0.0,100000.0,0.0
40,2026-03-17 08:05:01.242443,100000.0,100000.0,0.0,100000.0,0.0
41,2026-03-17 09:05:00.696417,100000.0,100000.0,0.0,100000.0,0.0
