id,time,scan_number,symbol,timeframe,price,rsi_14,atr_14,macd,macd_signal,bb_position,sma_20,sma_50,ema_12,ema_26,volatility_10,return_1,return_5,volume_ratio,h1_trend,h4_trend,signal_fired,signal_action,signal_strategy,feat_return_1,feat_return_2,feat_return_3,feat_return_5,feat_return_10,feat_return_20,feat_sma_10,feat_close_vs_sma_10,feat_sma_20,feat_close_vs_sma_20,feat_sma_50,feat_close_vs_sma_50,feat_sma_100,feat_close_vs_sma_100,feat_sma_200,feat_close_vs_sma_200,feat_ema_12,feat_ema_26,feat_ema_50,feat_sma_10_50_diff,feat_sma_20_100_diff,feat_sma_50_200_diff,feat_ema_12_26_diff,feat_rsi_7,feat_rsi_14,feat_rsi_21,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_5,feat_roc_10,feat_roc_20,feat_atr_7,feat_atr_7_pct,feat_atr_14,feat_atr_14_pct,feat_atr_28,feat_atr_28_pct,feat_bb_width,feat_bb_position,feat_volatility_10,feat_volatility_20,feat_candle_body_ratio,feat_candle_direction,feat_upper_shadow_ratio,feat_lower_shadow_ratio,feat_consecutive_direction,feat_price_position_10,feat_price_position_20,feat_price_position_50,feat_dist_from_high_20,feat_dist_from_low_20,feat_volume_ratio,feat_volume_change,feat_hour,feat_day_of_week,feat_session_london,feat_session_ny,feat_session_asia,feat_hour_sin,feat_hour_cos,feat_dow_sin,feat_dow_cos,feat_rsi_14_lag1,feat_macd_hist_lag1,feat_return_1_lag1,feat_rsi_14_lag2,feat_macd_hist_lag2,feat_return_1_lag2,feat_rsi_14_lag3,feat_macd_hist_lag3,feat_return_1_lag3,feat_rsi_14_change,feat_macd_hist_change,feat_rsi_14_dist_50,feat_rsi_7_dist_50,feat_atr_ratio_20,feat_spread_vs_atr,feat_price_vs_high_20_atr,feat_price_vs_low_20_atr,feat_macd_hist_vs_atr,feat_body_vs_atr
1,2026-03-17 18:54:51.145642,1,EURUSD,M15,1.1542,63.72196968254626,0.0006821339297966519,,0.0005659000500860784,0.8661010062115628,0.000851964178483145,0.0020153165446426444,0.000540644381907075,,0.02049376869923089,0.00012997703738992783,0.0005721518109471635,0.3376040755807322,UP,DOWN,0,,,0.00013,-8.7e-05,-0.00026,0.000572,0.00111,0.001015,1.153648,0.000478,1.153218,0.000852,1.151879,0.002015,1.150883,0.002883,1.148066,0.005343,1.153647,1.153024,1.152163,0.001536,0.002029,0.003321,0.000541,67.107906,63.72197,61.853558,0.000623,0.000566,5.7e-05,0.057215,0.111022,0.101472,0.000659,0.000571,0.000787,0.000682,0.000837,0.000725,0.002327,0.866101,0.020494,0.025919,0.405405,1.0,0.297297,0.297297,1.0,0.751196,0.822526,0.928473,-0.000451,0.002088,0.337604,-0.360231,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,62.545885,6.5e-05,-0.000217,65.849676,8e-05,-0.000173,68.539088,6.3e-05,0.00052,1.176084,-8e-06,,,,,,,,
2,2026-03-17 18:54:52.060484,1,GBPUSD,M15,1.33597,64.25796764459017,0.0006170603255300822,,0.0006243601422846162,0.8700895219064864,0.0007711954203202438,0.0018893838286922285,0.0005057456709842287,,0.01887350598459795,0.00014972637504961916,0.0006216576538791152,0.37480961525726775,UP,DOWN,0,,,0.00015,0.000135,-0.000247,0.000622,0.001049,0.000989,1.33538,0.000442,1.334941,0.000771,1.333451,0.001889,1.332301,0.002754,1.329166,0.005119,1.335359,1.334684,1.333732,0.001447,0.001981,0.003223,0.000506,68.28108,64.257968,62.21644,0.000675,0.000624,5.1e-05,0.062166,0.104903,0.098902,0.000653,0.000489,0.000824,0.000617,0.000904,0.000677,0.002084,0.87009,0.018874,0.024387,0.571429,1.0,0.314286,0.114286,1.0,0.79646,0.852564,0.944107,-0.000344,0.001991,0.37481,-0.26206,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,62.776809,5.5e-05,-1.5e-05,63.019309,6.9e-05,-0.000382,69.363859,7.5e-05,0.000314,1.481159,-4e-06,,,,,,,,
3,2026-03-17 18:54:54.330879,1,USDJPY,M15,158.995,49.84614995448616,0.0005518537696356901,,-0.025018281776178528,0.6092734594082646,0.00011668394910066698,-0.0003474373446481891,-9.221877481939104e-05,,0.015829585175775866,-0.00013206218242178824,0.00018242894707043433,0.397422126745435,DOWN,UP,0,,,-0.000132,1.9e-05,0.00039,0.000182,0.000541,0.000749,158.9715,0.000148,158.97645,0.000117,159.05026,-0.000347,159.13105,-0.000855,159.26066,-0.001668,158.979907,158.994569,159.042937,-0.000495,-0.000972,-0.001321,-9.2e-05,53.932032,49.84615,48.068089,-0.014662,-0.025018,0.010356,0.018243,0.054119,0.074901,0.075433,0.000474,0.087742,0.000552,0.091782,0.000577,0.001068,0.609273,0.01583,0.022819,0.388889,-1.0,0.055556,0.555556,-1.0,0.764706,0.6,0.378641,-0.000755,0.001132,0.397422,-0.279221,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,51.944854,0.010235,0.000151,49.697257,0.00745,0.000371,43.684669,0.005265,-0.000226,-2.098705,0.000121,,,,,,,,
4,2026-03-17 18:54:55.179450,1,XAUUSD,M15,5007.13,51.39345275766229,0.0018506356468101746,,-2.6626031497176617,0.6383772895723198,0.0007966990356463608,-0.0004601317314228632,-0.00033762710534567745,,0.04861466303721707,0.0007434929378165034,0.0018888726591685945,0.46476198887220704,DOWN,DOWN,0,,,0.000743,0.000643,0.000168,0.001889,0.000598,-0.001892,5003.117,0.000802,5003.144,0.000797,5009.435,-0.00046,5012.0687,-0.000985,5013.164,-0.001204,5003.670187,5005.360132,5008.24061,-0.001261,-0.001781,-0.000744,-0.000338,57.702365,51.393453,49.87356,-1.689945,-2.662603,0.972658,0.188887,0.059751,-0.189171,7.809089,0.00156,9.266373,0.001851,9.750164,0.001947,0.005757,0.638377,0.048615,0.10144,0.67148,1.0,0.227437,0.101083,1.0,0.846276,0.714559,0.580155,-0.002682,0.006714,0.464762,-0.132674,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,48.320511,0.728355,-0.0001,48.704814,0.698693,-0.000475,50.479323,0.586938,0.000762,3.072942,0.244303,,,,,,,,
5,2026-03-17 18:54:57.605815,1,AUDUSD,M15,0.71062,55.61084382623698,0.0009779028315718432,,0.00044311944442543586,0.622769540223088,0.00041319027236074905,0.0019488526979244479,0.0005683940989111215,,0.03565252549023845,9.851523467729884e-05,-0.0003657438667565849,0.317785432765416,UP,DOWN,0,,,9.9e-05,0.000113,-0.000998,-0.000366,0.000366,-0.000675,0.710686,-9.3e-05,0.710326,0.000413,0.709238,0.001949,0.708139,0.003504,0.70518,0.007714,0.710569,0.710165,0.70944,0.002042,0.00309,0.005754,0.000568,52.321663,55.610844,56.245965,0.000404,0.000443,-3.9e-05,-0.036574,0.036601,-0.067501,0.000584,0.000822,0.000695,0.000978,0.000764,0.001075,0.003366,0.62277,0.035653,0.045976,0.25,1.0,0.357143,0.392857,2.0,0.363636,0.695793,0.792388,-0.001323,0.003026,0.317785,-0.496559,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,54.934437,-2.2e-05,1.4e-05,54.843158,8e-06,-0.001111,64.413987,4.9e-05,0.000211,0.676407,-1.7e-05,,,,,,,,
6,2026-03-17 18:54:59.402375,1,USDCAD,M15,1.36951,46.6841036134105,0.0005309303168886159,,3.294244020073529e-05,0.37163406670499766,-0.0003313955695185818,-0.00015141809544060527,-5.1510109212776416e-05,,0.01614128042321991,-7.301348559074494e-05,-7.301348559074494e-05,0.27582216221429257,UP,UP,0,,,-7.3e-05,-0.000241,8.8e-05,-7.3e-05,-0.00062,0.00038,1.369665,-0.000113,1.369964,-0.000331,1.369717,-0.000151,1.369093,0.000304,1.36975,-0.000175,1.36975,1.369821,1.369666,-3.8e-05,0.000636,-2.4e-05,-5.2e-05,42.747427,46.684104,48.49662,-7.1e-05,3.3e-05,-0.000104,-0.007301,-0.062027,0.037984,0.000609,0.000445,0.000727,0.000531,0.000736,0.000537,0.002582,0.371634,0.016141,0.0296,0.37037,-1.0,0.259259,0.37037,-2.0,0.313187,0.348235,0.348235,-0.002023,0.001081,0.275822,-0.371429,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,47.636575,-0.000111,-0.000168,49.806851,-0.000124,0.000329,45.277449,-0.000159,0.000197,-0.952471,7e-06,,,,,,,,
7,2026-03-17 18:55:01.349755,1,NZDUSD,M15,0.58617,58.05327972021283,0.0008995928540924998,,0.00042649834293842775,0.6789582330151346,0.0005590239697528346,0.0025250832230760407,0.0006901677319551301,,0.031605830655078083,5.1182311393116464e-05,-6.823493287400062e-05,0.2025111381125962,UP,DOWN,0,,,5.1e-05,-0.000102,-0.001006,-6.8e-05,0.000341,0.000444,0.586192,-3.8e-05,0.585843,0.000559,0.584694,0.002525,0.584854,0.002249,0.583173,0.005139,0.586086,0.585682,0.5852,0.002563,0.001689,0.002608,0.00069,54.337351,58.05328,57.927327,0.000404,0.000426,-2.2e-05,-0.006823,0.034131,0.044375,0.000452,0.000771,0.000527,0.0009,0.00056,0.000955,0.003124,0.678958,0.031606,0.040924,0.136364,1.0,0.545455,0.318182,1.0,0.381818,0.699115,0.868217,-0.00116,0.002695,0.202511,-0.433657,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,57.684809,-4e-06,-0.000154,59.131788,2.2e-05,-0.000903,68.532128,4.6e-05,0.000529,0.36847,-1.8e-05,,,,,,,,
8,2026-03-17 18:55:02.557725,1,USDCHF,M15,0.78467,34.11218039111152,0.0006320074669282182,,-0.0005217367754234638,0.22182369172360888,-0.0009320067939729654,-0.002217661435325514,-0.0006861739259054779,,0.01570096174975825,-8.92015189744022e-05,-0.00038218021070868247,0.42903066271018797,DOWN,UP,0,,,-8.9e-05,0.0,0.000229,-0.000382,-0.000535,-0.002378,0.784852,-0.000232,0.785402,-0.000932,0.786414,-0.002218,0.787248,-0.003275,0.788306,-0.004613,0.785002,0.785541,0.786207,-0.001986,-0.002345,-0.0024,-0.000686,31.751785,34.11218,36.313774,-0.000539,-0.000522,-1.7e-05,-0.038218,-0.053497,-0.23775,0.000407,0.000519,0.000496,0.000632,0.000535,0.000681,0.00335,0.221824,0.015701,0.029268,0.333333,-1.0,0.095238,0.571429,-1.0,0.316832,0.125984,0.061776,-0.002829,0.000408,0.429031,-0.134663,20.0,1.0,0.0,1.0,0.0,-0.866025,0.5,0.951057,0.309017,34.908479,-3.1e-05,8.9e-05,33.466286,-5e-05,0.000229,29.749765,-6.1e-05,-0.000459,-0.796298,1.4e-05,,,,,,,,
9,2026-03-17 19:02:00.124571,2,EURUSD,M15,1.15385,59.90663280927405,0.0006517314026881405,,0.0005638709048614581,0.7272480941738922,0.0005233052950951761,0.0016121628537957133,0.0004985841162451108,,0.021492163934565982,-4.333131120537459e-05,-4.333131120537459e-05,0.15663709741868456,UP,DOWN,0,,,-4.3e-05,-0.000173,-0.00039,-4.3e-05,0.000676,0.000763,1.153696,0.000133,1.153247,0.000523,1.151993,0.001612,1.150913,0.002552,1.148114,0.004996,1.153639,1.153064,1.152218,0.001478,0.002028,0.003379,0.000499,58.147058,59.906633,59.506965,0.000575,0.000564,1.1e-05,-0.004333,0.067646,0.076325,0.000606,0.000525,0.000752,0.000652,0.000818,0.000709,0.002303,0.727248,0.021492,0.026051,0.25,-1.0,0.1,0.65,-4.0,0.583732,0.703072,0.88033,-0.000754,0.001785,0.156637,-0.708767,21.0,1.0,0.0,0.0,0.0,-0.707107,0.707107,0.951057,0.309017,60.581903,3.8e-05,-0.00013,62.545885,6.5e-05,-0.000217,65.849676,8e-05,-0.000173,-0.67527,-2.7e-05,,,,,,,,
10,2026-03-17 19:02:00.530694,2,GBPUSD,M15,1.33557,60.25117557274087,0.0005912635754691692,,0.0006185730667814827,0.7207042572390665,0.0004520712692041179,0.0014949274747212216,0.00046379408866426664,,0.019525274976877106,-2.2461814914609413e-05,-0.00023205677156634685,0.104675505931612,UP,DOWN,0,,,-2.2e-05,-0.00015,-0.000165,-0.000232,0.000802,0.000667,1.33545,9e-05,1.334966,0.000452,1.333576,0.001495,1.332336,0.002427,1.329223,0.004775,1.335343,1.334724,1.33379,0.001405,0.001974,0.003275,0.000464,58.69075,60.251176,59.770994,0.000619,0.000619,0.0,-0.023206,0.08018,0.066683,0.000607,0.000454,0.00079,0.000591,0.000884,0.000662,0.002048,0.720704,0.019525,0.024521,0.157895,-1.0,0.315789,0.526316,-4.0,0.57,0.724359,0.895504,-0.000644,0.001692,0.104676,-0.824971,21.0,1.0,0.0,0.0,0.0,-0.707107,0.707107,0.951057,0.309017,60.640785,2.7e-05,-0.000127,62.776809,5.5e-05,-1.5e-05,63.019309,6.9e-05,-0.000382,-0.389609,-2.7e-05,,,,,,,,
